game_title, genre, platforms, release_date, developers,metascore_rating
Modern Combat 4: Zero Hour,Action|Shooter|First-Person|Modern|Arcade,iOS,Dec  6 2012,Gameloft,82
Little Inferno,Miscellaneous|General|Action|Puzzle,iOS|PC|Switch|Wii U,Jan 31 2013,N/A,82
Time Surfer,Action|General,iOS,Jan  9 2013,Kumobius,82
Gangstar: Miami Vindication,Action|General,iOS,Sep 23 2010,Gameloft,82
Air Penguin,Action|General|Adventure,iOS,Apr 14 2011,Gamevil| GAMEVIL Inc.,82
Flick Kick Football,Sports|General|Soccer|Action|Team|Arcade,iOS,Jun 13 2010,PikPok,82
The Pinball Arcade,Action|General|Pinball,iOS|PC|PlayStation 3|PlayStation 4|PlayStation Vita|Switch|Wii U|Xbox 360|Xbox One,Feb  9 2012,Farsight Studios,82
Shoot the Zombirds,Action|General,iOS,May 24 2012,Infinite Dreams Inc.,82
Raiden Legacy,Action|General|Compilation|Miscellaneous,iOS|PC,Dec  4 2012,DotEmu,82
Wave Wave,Action|General,iOS,Mar  5 2014,N/A,82
Blokshot Revolution,Action|General,iOS,Feb 27 2015,Foxhole Games LLP,82
Sling Kong,Action|General,iOS,Aug  6 2015,Protostar,82
Afterpulse,Action|General,iOS,Oct 22 2015,Gamevil| GAMEVIL Inc.,82
Blitz Breaker,Action|2D|Platformer,iOS|PC,Aug  1 2016,Boncho Games,82
Funky Smugglers,Action|General,iOS,Oct 11 2012,11 bit studios,82
Woah Dave!,Action|2D|Platformer,iOS|3DS|PC|PlayStation 4|PlayStation Vita|Wii U,Oct 30 2014,Choice Provisions,82
Eternity Warriors 3,Action|General,iOS,Dec 18 2013,N/A,82
iStunt 2 - Snowboard,Sports|General|Action|Individual|Ski / Snowboard,iOS,Mar  9 2011,Miniclip.com,82
Anthill: Tactical Trail Defense,General|Action|Strategy|Real-Time|Modern,iOS,Oct  6 2011,Image & Form,82
Boson X,Action|General|Arcade,iOS|PC,Sep 26 2013,Ian MacLarty,82
Major Mayhem,General|Action|Shooter|Simulation|Light Gun,iOS|PC,Oct 21 2011,Adult Swim| Rocket Jump,82
Cordy,Action|2D|Platformer,iOS,Jul 27 2011,SilverTree Media,82
Rogue Planet,Action|General,iOS,Nov 23 2009,Agharta Studio,82
Dungeonism,Action|General,iOS,Jul  8 2013,N/A,82
Gentlemen!,Action|2D|General|Platformer,iOS|PC,Jul 16 2013,N/A,82
League of Evil 2,Action|General,iOS,Feb 15 2012,Ravenous Games| Ravenous Games Inc.,82
ZombieSmash,Action|General,iOS,Mar 17 2010,gamedoctors,82
Super Hydorah,Action|Shoot-'Em-Up|Horizontal|Shooter,iOS|PC|PlayStation 4|PlayStation Vita|Switch|Xbox One,May 17 2018,Abylight,82
Paper Munchers,Action|General,iOS,Jun 20 2011,Big Blue Bubble Inc.,81
Sprinkle: Water splashing fire fighting fun!,Action|General,iOS,Aug 25 2011,Mediocre AB,81
Zombie Parkour Runner,General|Platformer|Action|2D|Adventure,iOS,Oct 18 2011,Break Media,81
Plight of the Zombie,Puzzle|Strategy|Action|General,iOS|PC,Jul 31 2012,Spark Plug Games| LLC,81
Wordament,Miscellaneous|General|Logic|Action|Puzzle,iOS,Dec 21 2012,N/A,81
Orborun,Action|General|Driving,iOS|PC,Sep 19 2013,Bulkypix,81
Kindo,Action|General,iOS,May  7 2015,Space Bears S.A.S.,81
Tiny Rogue,Action|General,iOS,Nov 11 2015,Ravenous Games| Ravenous Games Inc.,81
